NAME	DESCRIPTION	WT_Ctrl_rep_1	WT_Ctrl_rep_2	WT_Ctrl_rep_3	WT_Rap_rep_1	WT_Rap_rep_2	WT_Rap_rep_3	AP2_F_Ctrl_rep_1	AP2_F_Ctrl_rep_2	AP2_F_Ctrl_rep_3	AP2_F_Rap_rep_1	AP2_F_Rap_rep_2	AP2_F_Rap_rep_3
cgd8_1800-RA	na	6.990365306	7.258031813	7.10302977	7.290135949	7.498706506	6.668289744	6.499008784	6.793037243	7.114896262	6.716671149	7.041945892	6.926507005
cgd8_1810-RA	na	3.010884513	5.056554028	3.726523662	3.010884513	4.489304987	4.489792337	4.563603517	3.997368832	4.943216998	5.071138554	5.869457833	5.521092207
cgd8_1820-RA	na	4.278151787	4.753531578	4.560125758	4.242063963	6.138718852	5.462014094	5.555428773	5.987148323	6.018401941	4.548110207	4.721855065	5.364177671
cgd8_1840-RA	na	7.382354663	7.134004663	6.585903933	7.290135949	7.202200103	7.31593953	6.697767493	6.793037243	6.784377671	6.404821258	6.63954725	6.467844302
cgd8_1850-RA	na	5.186450583	5.306845616	4.846340699	4.896527863	5.203984388	3.932083313	4.262579904	5.987148323	4.278934887	5.275335925	3.660226329	4.131405811
cgd8_1860-RA	na	4.942228651	5.520066618	5.90271311	4.709538879	5.203984388	4.489792337	5.449144043	5.31112632	5.88619569	4.548110207	5.97831686	5.662601784
cgd8_1870-RA	na	3.779408455	3.010884513	3.010884513	4.242063963	4.768724174	3.932083313	3.64546324	3.997368832	3.010884513	3.719397979	3.010884513	4.754403979
cgd8_1890-RA	na	3.010884513	5.306845616	4.846340699	3.935662614	3.684873515	3.932083313	4.176371886	4.577797821	5.187493604	4.192457143	5.869457833	5.364177671
cgd8_190-RA	na	5.186450583	4.753531578	4.846340699	5.468205933	5.537911431	4.489792337	4.262579904	5.31112632	4.943216998	3.719397979	4.446703726	3.677302643
cgd8_1910-RA	na	4.942227999	5.056525759	5.469128481	4.896527863	6.406356994	5.20457829	5.402557931	3.997347712	5.578735597	6.31505567	4.721843449	5.791462568
cgd8_193-RA	na	4.648067155	3.844513052	3.010884513	3.935662614	3.684873515	5.20457829	4.084683297	3.010884513	3.010884513	4.192457143	4.106407252	4.476275426
cgd8_1930-RA	na	3.779408455	3.010884513	4.202713186	4.494653587	3.684873515	3.010884513	4.693429679	3.010884513	4.278934887	3.719397979	4.721855065	3.677302643
cgd8_1960-RA	na	4.648067155	3.010884513	4.202713186	4.896527863	4.768724174	4.89100757	5.024762615	3.997368832	4.278934887	4.833197758	4.106407252	3.677302643
cgd8_1970-RA	na	5.577622184	5.705794666	5.469128481	6.121303544	5.380587788	4.89100757	5.88932934	4.99056321	3.779961752	5.071138554	4.952840553	4.987482059
cgd8_1980-RA	na	5.577622184	4.369463144	6.2356561	4.709538879	4.768724174	4.89100757	4.754209247	3.010884513	3.010884513	4.192457143	4.446703726	4.754403979
cgd8_1990-RA	na	6.017229167	5.520066618	6.132981886	4.709538879	5.380587788	5.870022649	6.16029055	3.997368832	5.396336689	4.548110207	4.721855065	4.476275426
cgd8_20-RA	na	3.779408455	5.306845616	4.560125758	4.494653587	3.684873515	3.932083313	4.343925749	3.010884513	4.648976093	3.010884513	4.446703726	3.677302643
cgd8_200-RA	na	5.577622184	4.753531578	6.2356561	5.210499987	5.00270712	3.010884513	5.942532065	4.99056321	4.943216998	5.756568305	5.751709507	5.662601784
cgd8_2000-RA	na	6.017229167	5.870316732	6.802095538	6.513152812	6.888236266	6.562309264	6.601808285	5.573250018	6.708107905	6.006425873	6.262874267	6.019072212
cgd8_2030-RA	na	3.779408455	3.010884513	3.726523662	4.242063963	3.684873515	4.89100757	4.42092872	4.577797821	4.278934887	3.010884513	3.660226329	4.476275426
